label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
assault,6,-69,31.0644,27.074,29.0172,23.1948,27.0185,27.0185,25.1794,25.1794,26.0768,26.1725,25.4951,26.0768,25.1794,26.6833,25.0,25.318,22.2036,22.2036,23.7697,24.0416,23.3452,23.0868,19.0263,22.8035,20.3961,21.3776,0.0,18.0278,20.025,19.0263,18.0,17.0294,17.4642,18.0,18.0,21.0238,21.3776,18.2483,17.2627,19.4165,16.7631,17.72,17.088,15.2971,17.088,18.3848,16.1245,16.7631,19.3132
assault,6,-67,26.9072,26.9072,29.0,29.0689,28.4253,28.4253,27.6586,26.4008,27.8029,25.5539,28.8444,27.7849,27.2947,25.4951,24.5967,25.5539,23.7065,23.3238,22.3607,22.3607,20.5913,21.9545,19.2354,21.4709,20.5913,21.6333,0.0,20.2485,19.4165,19.4165,19.2094,18.6011,18.4391,19.2094,18.4391,18.3848,18.3848,18.4391,16.9706,18.3848,17.6918,19.2094,18.6011,19.2094,17.4929,16.6433,17.0,18.0278,18.0278
assault,6,-69,22.8473,23.4094,24.0416,24.0416,24.0416,21.8403,22.8035,22.2036,22.561,21.2132,22.2036,22.3607,22.0907,20.0998,19.105,20.0998,18.4391,18.4391,18.2483,17.1172,18.2483,17.1172,16.1245,17.2627,16.1245,16.4924,0.0,15.5242,16.7631,14.8661,14.7648,16.1555,16.5529,17.088,14.7648,12.53,13.6015,16.4012,15.0,15.8114,15.0,15.6205,16.4012,16.2788,15.5563,16.2788,16.2788,16.2788,16.2788
assault,6,-69,27.2947,25.0799,26.9258,26.9258,26.2488,25.632,25.0,24.0416,25.0,24.7386,25.4951,26.4764,25.318,25.1794,23.3452,23.1948,22.2036,21.2132,21.2132,21.2132,23.3452,22.2036,19.4165,21.2132,20.2237,21.587,0.0,20.6155,20.3961,19.6469,19.9249,18.6815,18.9737,19.9249,18.3848,19.6977,18.3576,18.3576,17.8885,17.8885,19.2354,18.868,18.868,19.7231,20.0,20.0,19.2094,19.4165,20.8087
assault,6,-67,22.0227,22.6274,23.3452,22.6716,22.8035,23.4307,22.8035,22.2036,22.2036,22.4722,23.0217,22.4722,21.9545,21.4709,19.7231,21.4709,20.5913,18.868,19.2354,18.7883,19.2354,18.3576,18.3576,17.4929,18.3576,18.0278,0.0,16.6433,17.2047,17.2047,16.4012,17.2047,17.0294,17.0294,15.5563,16.2788,15.6205,17.0294,15.6205,16.2788,16.2788,16.4012,17.2047,17.8045,16.6433,16.6433,16.6433,17.4929,16.6433
assault,6,-67,23.7697,24.1661,25.5539,25.0599,24.6982,23.3238,23.8537,24.4131,24.4131,24.2074,24.4131,23.6008,22.8035,23.6008,22.6716,24.2074,22.0227,20.6155,20.5183,21.2603,21.2603,19.8494,19.2094,20.0,21.4009,20.2485,0.0,18.868,21.095,20.2485,18.868,18.868,19.2354,19.2354,17.8885,18.7883,18.9737,18.9737,18.9737,18.9737,18.9737,18.6815,18.4391,19.6469,19.2354,19.4165,19.105,21.3776,20.2237
assault,6,-67,22.2036,22.3607,24.5153,23.7697,22.8035,22.8035,23.4094,23.0868,22.4722,22.8473,23.7697,22.4722,22.8473,23.7697,21.9317,21.9317,21.4709,20.1246,21.0238,20.1246,21.0238,19.2354,18.3848,19.6977,19.6977,19.3132,0.0,18.3848,18.9737,19.3132,16.7631,18.0278,18.6815,18.6815,17.72,16.2788,18.2483,17.0294,17.1172,18.1108,17.1172,17.1172,18.0278,18.0278,18.0,18.0278,17.0,18.0,19.0
assault,6,-67,20.2237,23.0217,21.095,21.0,20.0998,21.0,23.0868,23.0868,24.0832,22.0907,23.1948,19.105,19.2354,23.3452,20.3961,21.3776,20.2237,16.2788,20.3961,19.4165,20.6155,17.4642,16.4924,18.4391,19.105,19.105,0.0,17.2627,16.1245,17.2627,16.0312,18.1108,17.0294,17.1172,17.0294,13.1529,14.1421,16.0312,15.0,16.0312,16.0,15.1327,16.1245,15.2971,16.7631,17.2627,15.8114,16.7631,15.5242
assault,6,-67,28.2843,28.1603,29.0172,29.0172,29.0172,28.0,27.0185,28.0713,27.074,27.1662,27.1662,27.2947,26.3059,26.4764,25.318,26.4764,24.5153,24.3311,24.5153,22.561,22.3607,22.561,21.3776,21.2132,22.2036,21.095,0.0,20.025,20.0998,20.0998,20.025,18.0,19.0,19.0263,19.0263,19.2354,18.4391,18.6815,18.4391,18.4391,17.4642,18.6815,18.9737,18.0278,17.4642,18.3848,18.3848,18.7883,18.0278
assault,6,-68,28.2312,27.5136,29.4109,27.8927,29.8329,26.6833,27.4591,26.3059,26.3059,28.2843,27.4591,26.1725,26.3059,25.318,23.0868,28.0713,23.0868,23.0217,22.0907,22.0,22.0,22.0,22.2036,21.095,21.095,21.3776,0.0,19.4165,20.3961,19.4165,19.6469,17.4642,18.4391,18.4391,18.6815,18.9737,18.7883,18.3576,17.4929,17.8885,17.4929,18.3576,18.0278,19.7231,16.6433,18.6011,18.6011,19.4165,18.0278
