label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
assault,6,-78,4.0,3.6056,5.099,5.099,5.831,5.0,5.831,5.0,5.831,7.0711,8.4853,7.0711,8.6023,8.4853,8.6023,8.6023,9.8995,9.8489,9.434,9.434,10.6301,10.8167,9.434,10.2956,11.1803,9.434,0.0,9.434,10.8167,12.2066,10.8167,10.8167,11.6619,12.2066,11.6619,11.6619,11.6619,12.2066,11.4018,12.2066,13.4536,12.8062,14.8661,12.8062,14.1421,14.2127,13.4536,14.1421,13.4536
assault,6,-75,5.0,8.9443,9.2195,14.3178,12.3693,10.198,11.7047,9.2195,11.7047,13.1529,13.9284,14.5602,14.3178,15.5242,14.0,15.1327,16.0312,14.5602,17.1172,16.0312,14.1421,14.0,16.0312,18.0,18.0,14.0357,0.0,16.2788,13.0384,19.0263,15.0,16.0312,17.2627,17.1172,20.2237,20.6155,20.3961,21.587,19.6469,20.6155,15.8114,19.3132,18.0278,17.088,19.105,19.6469,17.4642,18.2483,20.6155
assault,6,-80,18.2483,8.9443,13.4164,11.7047,11.6619,13.6015,11.1803,13.4536,11.1803,11.3137,14.2127,13.4536,12.0416,13.4536,11.3137,12.0416,13.4536,12.2066,9.8995,12.7279,11.4018,9.8995,13.0384,13.6015,11.4018,12.8062,0.0,12.2066,12.7279,12.0416,10.6301,11.4018,12.0416,12.8062,12.0416,11.6619,11.6619,11.1803,12.0416,15.0,13.0384,13.8924,13.0384,14.7648,13.9284,15.2315,13.6015,14.7648,14.3178
assault,6,-79,10.0499,8.0623,12.0,9.0554,12.0416,12.3693,12.3693,11.4018,11.4018,13.4164,12.6491,12.6491,14.3178,13.8924,15.0,14.7648,16.1245,14.7648,14.7648,15.8114,13.0384,15.2643,14.4222,14.2127,15.0,14.2127,0.0,12.8062,15.8114,15.2643,14.7648,15.8114,14.4222,14.7648,12.53,15.6525,15.2315,15.8114,14.7648,13.6015,15.2315,15.8114,15.5242,15.5242,14.3178,15.2971,15.1327,15.5242,14.3178
assault,6,-78,9.8995,11.7047,10.0,9.2195,4.1231,12.0416,8.9443,12.6491,10.6301,11.6619,13.9284,14.8661,12.3693,12.53,12.3693,15.2971,15.2971,16.0312,14.1421,14.3178,15.0333,14.3178,15.0,12.3693,17.4642,13.1529,0.0,18.0278,16.0,14.1421,14.1421,17.0,15.0,13.0,12.1655,11.4018,4.0,13.0384,14.0357,17.0294,14.0357,15.2971,16.0312,12.0416,13.0384,16.2788,12.0,13.3417,16.2788
assault,6,-76,8.6023,9.2195,10.0,10.6301,10.8167,11.4018,10.8167,10.8167,10.2956,11.1803,12.083,12.53,13.0,13.6015,12.6491,13.0,13.6015,11.1803,13.9284,13.1529,11.1803,14.3178,12.3693,14.1421,14.1421,15.5242,0.0,14.3178,13.3417,15.2971,13.9284,14.5602,15.2971,14.1421,14.3178,14.3178,15.5242,17.088,15.8114,14.3178,16.7631,15.8114,15.8114,16.7631,16.7631,17.088,16.1555,17.4642,18.0278
assault,6,-79,4.1231,3.1623,4.0,5.831,4.4721,3.1623,6.3246,5.3852,6.0828,6.0,8.0,8.0,7.0711,9.0554,8.0623,8.2462,9.4868,8.9443,10.198,10.7703,9.8489,10.7703,10.7703,10.2956,11.4018,12.083,0.0,11.1803,12.083,13.0384,13.0,12.53,12.53,13.4164,13.8924,14.3178,11.7047,13.8924,13.4164,12.083,14.7648,14.7648,14.3178,14.7648,15.2315,14.7648,15.8114,16.5529,14.3178
assault,6,-80,7.0711,5.831,6.4031,8.0623,7.6158,7.0711,8.6023,8.9443,10.7703,16.6433,18.0278,10.6301,12.53,10.2956,11.6619,10.8167,12.2066,11.6619,10.2956,12.53,12.53,13.4164,12.53,12.6491,13.0,14.3178,0.0,13.8924,15.6525,13.9284,14.7648,14.3178,15.6525,16.1555,15.8114,15.2315,17.4642,17.8885,15.6525,15.6525,16.6433,15.8114,17.2047,16.6433,16.1245,15.2643,14.2127,15.6205,15.6205
assault,6,-77,8.6023,9.2195,10.0,10.0,8.4853,8.9443,9.2195,9.2195,10.0,10.6301,11.3137,11.4018,10.8167,10.0,9.2195,9.8995,10.6301,11.4018,12.0416,12.0416,12.8062,12.7279,12.0416,12.0416,11.3137,13.4536,0.0,14.1421,13.4536,14.1421,14.1421,12.0416,14.8661,14.8661,13.4536,14.8661,14.2127,14.8661,14.2127,16.2788,14.8661,15.5563,16.2788,16.4012,15.5563,15.5563,14.8661,16.9706,17.0294
assault,6,-75,11.4018,9.8489,10.2956,10.7703,12.53,12.53,12.083,11.6619,11.6619,13.8924,13.8924,13.6015,13.6015,13.0384,12.8062,13.0384,13.6015,12.2066,13.6015,14.2127,14.2127,14.8661,14.2127,14.8661,14.1421,15.0,0.0,14.8661,14.8661,14.8661,15.0,15.0,15.6205,14.2127,15.6205,15.6205,14.8661,17.0294,16.2788,15.6205,15.6205,17.0294,15.0,16.4012,17.0294,17.8045,17.2047,16.2788,16.4012
