label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
fall,6,-70,22.0227,24.0208,23.0,24.0,23.0868,22.0227,22.0227,22.0907,22.0907,22.2036,22.2036,22.3607,22.561,21.3776,21.3776,21.3776,20.6155,19.6469,20.6155,18.4391,19.2354,20.3961,19.2354,19.4165,20.6155,18.4391,0.0,19.2354,18.4391,19.2354,19.105,18.2483,19.0263,19.105,18.0278,19.0263,19.0263,19.0,18.0278,18.1108,19.0,20.0,21.0,20.0,19.0,21.0238,20.0998,20.025,21.0238
fall,6,-70,20.5913,18.868,21.4009,19.105,24.2074,23.4307,21.2603,19.2094,19.8494,19.799,20.6155,21.2132,19.105,20.6155,20.5183,19.799,18.3848,18.6011,20.5183,18.6011,19.8494,20.5183,17.8045,17.2047,20.5183,17.6918,0.0,17.6918,19.105,19.105,17.6918,18.4391,18.3848,18.4391,19.105,18.6011,20.5183,17.8045,17.8045,18.6011,18.4391,18.6011,18.868,17.8045,20.8087,20.5913,18.868,18.6011,19.4165
fall,6,-71,19.0263,20.0998,18.1108,21.0,20.6155,19.105,21.0238,18.0278,19.0,17.1172,18.1108,18.2483,18.0278,18.2483,19.2354,17.2627,15.5242,15.2971,18.0278,20.3961,17.2627,18.4391,17.1172,18.2483,16.7631,19.105,0.0,17.0294,18.2483,17.1172,13.1529,17.4642,17.0294,17.0294,18.2483,17.2627,20.2237,18.0,17.1172,18.1108,17.0,16.0312,18.1108,17.0294,19.0263,17.0,18.0278,19.2354,19.0263
fall,6,-70,5.0,6.0,7.2801,7.2801,6.3246,6.0828,7.2801,6.0828,6.0828,6.3246,6.0828,7.2801,6.3246,6.3246,6.3246,6.7082,6.3246,5.3852,5.3852,6.3246,5.3852,5.3852,6.3246,6.3246,6.3246,6.0828,0.0,5.099,6.3246,6.0828,5.099,5.3852,6.0828,6.0828,5.099,6.0828,6.0828,6.0,6.0828,6.0828,6.0828,6.0828,7.0711,7.0711,6.0,7.0711,6.0,7.0711,7.0711
fall,6,-70,22.6716,23.3452,22.6716,22.6716,22.2036,22.0227,22.0227,22.2036,22.2036,23.0217,23.0217,22.2036,21.6333,21.6333,21.095,21.095,20.2485,18.868,19.7231,19.4165,19.2094,20.2485,18.6011,20.2485,19.4165,20.0,0.0,19.2094,20.0,19.2094,18.6011,19.2094,19.2094,19.8494,19.8494,21.2603,19.105,19.8494,19.105,20.5183,21.9317,20.5183,21.2603,22.6274,23.4307,21.6333,26.4197,22.8035,23.3452
fall,6,-70,23.4094,21.8403,21.587,21.3776,21.2132,20.3961,21.3776,20.2237,20.3961,22.0227,21.095,21.095,20.0,20.025,19.0263,20.0998,19.105,19.105,19.0263,19.0263,19.105,19.0263,18.1108,19.105,18.0,18.1108,0.0,18.1108,18.0278,19.105,19.2354,18.1108,19.2354,19.2354,18.4391,19.6469,18.9737,18.6815,18.6815,18.6815,18.6815,20.8806,20.6155,21.8403,21.1896,21.1896,20.6155,22.1359,21.5407
fall,6,-70,22.2036,20.0,21.9317,22.6274,20.5183,19.8494,21.2132,19.105,19.8494,18.6011,20.6155,19.2094,19.4165,19.4165,17.8045,19.4165,18.6011,17.0294,17.2047,17.2047,17.2047,17.8045,16.4012,17.8045,18.0278,17.6918,0.0,17.8045,17.8045,17.8045,17.0294,16.2788,17.6918,17.8045,17.6918,15.5563,17.6918,16.2788,16.9706,18.3848,17.6918,18.4391,18.4391,20.5183,20.0,20.0,19.2094,19.8494,19.8494
fall,6,-72,25.0,23.6008,23.8537,24.6982,22.3607,24.6982,23.3238,22.3607,22.8254,21.5407,23.2594,22.8473,21.5407,21.1896,21.5407,20.6155,19.6977,19.6977,19.6977,19.2354,18.3848,17.8885,16.5529,18.7883,18.3576,18.0278,0.0,18.3576,17.2047,19.2354,18.868,19.4165,19.4165,18.6011,18.6011,18.3848,19.105,19.799,19.105,19.105,21.2132,19.105,21.2603,20.5183,21.9317,22.6716,21.2603,21.9317,22.6274
fall,6,-71,23.4094,23.7697,23.7065,25.0599,24.1868,24.5967,22.8254,22.8254,22.8254,21.6333,23.8537,21.6333,22.2036,21.4009,20.6155,20.8087,20.2485,18.3576,20.8087,18.0278,19.4165,18.868,18.0278,18.3576,18.0278,19.2354,0.0,17.8885,17.8885,17.8885,17.088,18.3848,17.4642,18.3848,17.088,18.6815,17.4642,17.4642,16.4924,18.4391,18.2483,18.2483,20.0998,19.2354,19.0263,20.0998,19.105,21.095,20.2237
fall,6,-70,22.2036,21.2603,24.7588,23.3452,22.6274,22.6716,19.8494,22.0227,21.2603,22.2036,21.4009,21.2603,23.0217,21.095,19.7231,20.5913,18.0278,18.868,18.3576,20.0,17.2047,20.2485,16.4012,19.4165,18.6011,17.0294,0.0,18.6011,18.4391,18.4391,17.6918,16.4012,19.105,18.3848,17.6918,18.6011,14.8661,16.6433,18.4391,18.4391,18.6011,17.8045,19.4165,20.6155,20.0,19.4165,20.0,19.4165,20.0
fall,6,-69,24.1661,24.1661,25.0599,24.6982,24.6982,24.4131,23.8537,22.8035,21.4009,22.6716,22.8035,22.6716,22.6716,21.2132,20.5183,22.0227,20.6155,19.8494,19.8494,19.8494,18.4391,18.4391,17.8045,19.799,19.799,19.4165,0.0,18.6011,20.0,18.868,18.868,18.0278,18.3576,18.868,17.0,17.4642,17.088,19.6977,17.8885,18.3848,18.7883,19.3132,20.6155,21.1896,21.1896,21.1896,20.8806,21.5407,21.0238
fall,6,-71,20.0998,23.3452,19.0,21.095,18.0278,20.0998,21.0238,19.2354,21.0238,17.1172,22.0907,17.2627,17.4642,21.2132,22.2036,18.1108,17.72,16.2788,17.1172,17.1172,18.0278,15.2971,14.0357,16.0,17.1172,17.0294,0.0,17.1172,14.0,18.1108,14.0357,15.0333,14.0357,16.0312,16.2788,12.1655,13.0,16.1555,14.8661,15.5242,15.5242,15.2971,18.0278,15.2315,16.5529,15.2315,16.5529,18.0278,17.8885
fall,6,-70,27.7308,24.6982,27.2947,26.6271,26.4008,25.0,23.8537,24.8395,23.4307,24.8395,25.0,24.2074,24.7588,22.6716,20.5183,24.0832,20.6155,19.2094,21.9317,20.5183,19.8494,20.6155,19.2094,19.8494,20.8087,20.0,0.0,19.4165,19.4165,18.0278,18.7883,18.3576,18.3576,18.3576,19.3132,19.6977,19.3132,20.6155,19.3132,19.6469,19.9249,20.6155,21.3776,21.587,21.3776,20.2237,21.3776,22.561,22.3607
fall,6,-68,24.7386,24.0416,24.6982,25.632,24.1661,23.2594,24.1661,21.9317,23.2594,21.4709,22.8254,23.2594,21.9545,22.4722,22.4722,22.4722,21.095,19.7231,18.3576,19.7231,18.3576,19.2354,17.8885,18.3576,19.7231,18.3848,0.0,18.3848,18.0278,18.3848,18.0278,19.3132,18.0278,19.3132,17.088,18.6815,18.2483,19.4165,18.2483,19.2354,19.4165,19.2354,20.0998,20.2237,20.025,21.0238,19.0263,20.2237,20.3961
fall,6,-71,22.4722,23.0217,22.6716,23.4307,22.6716,20.6155,21.2603,20.5183,21.2132,20.5183,21.2603,20.6155,20.5183,20.0,19.8494,19.8494,19.8494,17.8045,18.4391,18.3848,16.9706,17.6918,17.0294,17.6918,17.0294,18.4391,0.0,17.8045,18.4391,19.4165,18.0278,17.4929,18.0278,18.0278,17.4929,18.3576,19.6977,20.5913,18.3576,19.7231,19.6977,20.6155,20.6155,21.4709,21.5407,21.5407,22.4722,21.0238,22.8473
fall,6,-71,21.587,21.587,21.2132,21.2132,20.0998,21.2132,20.2237,19.105,19.0263,19.0,21.0,19.0,19.0,18.0278,18.0278,19.0,17.0,16.0312,16.1245,16.0312,16.0,16.0312,16.0312,17.0294,17.0,16.1245,0.0,16.0312,17.0294,16.0312,16.1245,15.1327,15.1327,16.2788,16.1245,14.3178,15.5242,16.4924,15.5242,17.72,18.0278,17.4642,17.088,18.6815,18.0278,19.6469,18.0278,18.9737,19.6469
fall,6,-71,24.5967,25.0599,24.6982,26.0768,23.8537,25.5539,25.0,23.8537,23.6008,23.6008,23.6008,22.8035,22.2036,21.4009,21.2603,21.2603,20.8087,20.0,19.4165,19.2094,20.0,18.6011,18.868,18.868,19.4165,18.0278,0.0,18.7883,18.7883,18.3576,18.3848,17.8885,18.7883,18.3848,18.3848,18.3848,19.6469,19.6469,18.9737,18.9737,18.6815,19.6469,20.3961,20.6155,21.3776,21.3776,21.095,22.561,22.8035
fall,6,-71,25.6125,25.807,26.4197,25.5539,26.4197,25.0599,25.0599,25.5539,24.1868,24.1661,24.1661,24.6982,23.4094,22.8473,21.5407,23.2594,21.5407,19.6977,21.5407,20.1246,20.6155,19.6977,18.7883,20.1246,19.2354,20.5913,0.0,19.7231,19.7231,19.7231,18.868,18.0278,19.4165,19.7231,18.868,19.4165,19.8494,20.5183,18.4391,19.105,19.105,19.799,20.5183,20.5183,21.2603,20.6155,19.8494,21.2132,21.2132
fall,6,-69,25.0799,25.1794,25.7099,27.6586,25.9615,25.0,25.0,24.0416,24.3516,24.6982,25.632,24.6982,25.0799,23.4094,22.3607,22.4722,20.6155,20.6155,21.9317,21.0238,20.6155,20.6155,18.7883,20.6155,21.0238,20.2485,0.0,20.2485,19.9249,19.9249,19.6469,18.6815,19.6469,18.9737,18.4391,19.2354,18.1108,19.105,18.1108,19.105,19.0263,19.0263,20.0,21.095,22.0,20.0,21.0238,21.0238,21.0238
fall,6,-72,20.025,21.095,21.587,22.561,20.3961,20.3961,20.3961,20.6155,19.6469,18.6815,19.6469,19.6469,20.8806,18.6815,18.9737,18.9737,18.9737,16.7631,17.4642,17.72,16.7631,17.72,15.5242,16.7631,17.4642,17.2627,0.0,17.1172,17.0294,16.0312,17.0294,17.1172,18.0278,16.1245,16.0312,16.0,16.0,17.1172,17.0294,17.0294,19.105,18.2483,18.1108,19.105,19.2354,19.105,19.2354,19.105,20.0998
fall,6,-71,21.9317,21.0238,22.6274,22.0227,21.6333,24.0832,19.8494,20.6155,20.5183,19.2094,19.4165,18.6011,19.2094,18.6011,17.6918,18.6011,17.6918,16.2788,17.0294,16.2788,16.2788,15.5563,14.8661,15.6205,15.8114,15.0,0.0,15.0,15.8114,15.6205,14.4222,14.4222,14.2127,15.8114,15.2643,14.4222,16.1555,15.8114,15.5242,15.2315,15.8114,15.8114,17.4642,17.088,15.8114,17.4642,17.4642,18.3848,17.8885
fall,6,-70,26.0192,26.1725,24.3311,25.4951,23.3452,24.7386,24.7386,24.0416,22.1359,22.1359,23.4094,23.7697,22.1359,21.5407,21.5407,21.9317,19.3132,20.2485,19.6977,19.3132,19.3132,19.6977,17.088,18.0278,18.9737,16.4924,0.0,18.6815,17.4642,18.6815,17.2627,18.4391,17.2627,17.2627,17.2627,17.1172,17.0294,18.0,18.0278,18.0278,19.0,19.0,19.0,19.0263,20.0998,21.0238,20.0,21.0238,21.0
fall,6,-71,24.4131,25.0,24.6982,24.1868,22.8254,25.0599,24.5967,21.9317,24.1661,21.1896,22.8473,23.4094,23.4094,21.9317,20.2485,20.8806,22.1359,18.9737,20.2485,19.3132,18.3848,19.9249,17.088,18.9737,20.2485,18.3848,0.0,17.4642,19.2354,18.3848,18.7883,18.3576,18.7883,19.6977,18.0278,17.4929,19.4165,19.4165,18.3576,18.0278,19.4165,19.2094,19.8494,20.2485,20.0,20.6155,19.8494,20.6155,20.0
fall,6,-70,26.9258,27.2029,26.5707,28.2312,26.4008,26.9258,26.0,24.1661,25.0599,25.2389,24.5967,24.1661,25.5539,23.3238,24.5967,23.3238,22.3607,19.7231,21.9545,21.095,22.3607,20.5913,19.2354,20.5913,21.0238,21.0238,0.0,21.0238,21.0238,20.6155,18.3848,18.7883,19.9249,20.2485,19.9249,19.9249,19.2354,19.4165,20.3961,20.3961,20.6155,19.105,22.2036,22.2036,22.0907,22.2036,22.0907,22.0907,22.2036
fall,6,-69,21.0238,20.1246,20.6155,22.4722,21.1896,20.6155,20.2485,20.2485,20.8806,20.6155,21.8403,21.8403,20.6155,19.4165,21.587,20.3961,19.6469,17.4642,19.4165,19.4165,19.4165,18.4391,17.4642,18.9737,19.4165,19.9249,0.0,18.9737,18.6815,18.9737,18.9737,18.0278,18.3848,18.9737,17.4642,18.3848,17.8885,20.1246,18.7883,18.3576,19.2354,19.2354,21.095,20.1246,21.095,19.7231,19.7231,20.5913,21.0238
fall,6,-73,23.1948,22.561,22.8035,23.0868,23.0868,20.8806,21.5407,20.2485,20.2485,21.1896,20.6155,20.6155,21.4709,20.1246,17.4642,19.6977,18.3848,18.3848,18.7883,18.3848,17.4642,18.3848,16.5529,17.088,18.0278,16.4924,0.0,15.5242,17.4642,16.4924,17.1172,17.2627,16.2788,17.2627,17.0294,16.0312,17.0,18.0278,15.0333,17.0294,16.0312,19.0263,18.0278,19.0,18.0278,20.0998,18.1108,19.2354,19.105
fall,6,-71,19.8494,19.8494,19.105,22.8035,18.0278,19.4165,24.2074,23.8537,20.8087,17.4929,21.6333,21.4009,25.0599,20.2485,18.3576,23.4094,21.9317,18.3576,19.2354,17.0,18.3848,17.4929,16.1245,19.4165,17.4929,18.6011,0.0,15.6525,17.8885,19.7231,16.6433,21.5407,18.6011,16.7631,17.4642,19.6977,18.868,19.8494,18.868,21.4009,21.4009,18.3576,21.095,20.8087,20.5913,20.2485,18.0278,19.4165,21.9545
fall,6,-70,23.4094,23.7697,23.1948,25.0799,24.3311,24.0832,22.3607,23.5372,21.8403,19.2354,23.0868,23.1948,24.0,24.0,24.0208,21.0238,22.0227,20.0,21.095,20.025,19.0263,20.025,18.2483,20.0998,20.025,20.0998,0.0,19.2354,17.72,23.0868,20.6155,20.3961,20.3961,19.105,18.0278,19.4165,18.2483,19.9249,20.2485,22.1359,22.8473,21.0238,23.7697,18.9737,21.0238,21.4709,21.1896,21.9317,22.1359
fall,6,-70,21.9545,21.095,22.0227,23.4307,20.6155,22.0227,21.9317,19.2094,20.5183,19.105,20.5183,20.5183,19.799,18.3848,19.8494,18.3848,19.105,16.4012,18.4391,17.6918,17.6918,19.105,15.6205,17.8045,17.8045,17.2047,0.0,17.2047,17.2047,18.4391,18.0278,16.4012,17.2047,18.0278,16.1245,16.1245,17.088,17.088,15.2315,17.8885,18.7883,17.8885,19.2354,18.7883,18.9737,19.3132,18.9737,19.3132,19.2354
fall,6,-71,20.1246,19.6977,22.4722,20.6155,22.1359,20.6155,19.9249,19.3132,19.6469,20.6155,20.8806,19.9249,20.6155,18.6815,18.4391,20.6155,19.9249,18.0278,19.6469,18.9737,17.088,18.6815,18.9737,18.0278,18.9737,18.0278,0.0,17.8885,19.3132,19.3132,18.7883,17.088,19.2354,17.8885,19.2354,20.2485,19.4165,19.4165,18.3576,19.7231,20.2485,21.095,20.8087,20.8087,20.8087,21.6333,20.8087,22.0227,22.2036
fall,6,-70,23.5372,25.318,26.1725,26.0768,25.0799,26.0768,25.02,25.0,26.0192,23.0217,25.0799,24.0208,24.0832,23.0868,23.1948,24.0832,24.0832,22.2036,22.3607,21.2132,21.3776,21.587,20.0998,20.3961,22.2036,21.095,0.0,20.2237,21.095,20.0998,18.0278,18.0278,18.0278,19.0263,19.0,19.0,19.0263,19.105,18.0278,19.105,19.105,19.2354,19.2354,20.2237,19.2354,19.2354,19.2354,19.2354,20.2237
fall,6,-70,26.4008,29.1548,27.2029,28.1603,28.1603,28.1603,26.6833,26.4764,26.3059,26.3059,27.4591,27.4591,26.3059,25.1794,26.1725,26.0768,25.1794,22.0907,24.0832,24.0832,23.1948,22.0227,21.2132,23.1948,23.1948,22.3607,0.0,21.2132,21.2132,21.3776,20.3961,20.6155,19.4165,21.587,18.9737,20.8806,19.9249,19.6977,18.7883,19.3132,19.6977,19.2354,21.4709,21.4709,21.095,20.5913,21.095,19.7231,21.0238
fall,6,-70,21.6333,22.4722,23.4307,23.4307,22.6716,22.0227,21.2603,21.9317,21.4009,22.6716,21.9317,21.2603,22.6716,22.0227,20.6155,20.5183,20.5183,19.105,20.6155,19.105,19.2094,18.4391,17.6918,19.2094,19.2094,19.105,0.0,18.3848,18.3848,17.6918,18.4391,18.3848,19.105,18.3848,17.0294,17.8045,18.3576,18.6011,16.4012,17.8045,17.2047,18.0278,18.0278,18.0278,18.0278,18.0278,18.3576,18.868,18.0278
fall,6,-69,23.7065,23.8537,25.2389,25.2389,24.2074,23.6008,22.8035,22.8035,22.8035,22.6716,22.6274,23.3452,23.3452,22.6274,22.6274,21.9317,21.2603,19.8494,21.2132,20.5183,20.5183,19.8494,19.8494,20.5183,19.105,19.8494,0.0,18.6011,20.0,20.6155,18.868,20.0,19.4165,18.868,18.868,18.3576,19.2354,17.8885,18.7883,19.2354,19.6977,19.6977,20.2485,19.6977,19.9249,20.8806,20.6155,19.9249,20.2485
fall,6,-69,19.105,20.6155,21.9317,18.6011,22.6274,21.2132,20.0,22.8035,20.2485,21.6333,20.5183,21.4009,18.6011,23.3452,18.868,22.2036,18.868,19.105,21.4009,20.0,20.2485,20.0,19.7231,18.6011,20.8087,21.2603,0.0,18.6011,19.8494,19.4165,19.2094,17.6918,21.2132,16.4012,17.6918,17.0294,16.9706,17.8045,19.105,19.799,17.8045,18.6011,20.2485,21.2603,20.0,20.6155,21.4009,20.6155,22.2036
fall,6,-69,24.0208,27.0185,25.1794,29.0172,25.1794,26.1725,26.3059,21.3776,24.5153,22.3607,21.3776,24.1868,25.0,19.9249,20.3961,23.5372,20.0998,22.3607,24.7386,23.7697,21.587,22.3607,20.2237,22.3607,19.6469,21.2132,0.0,19.6469,21.0,21.2132,20.025,20.2237,19.105,21.095,20.0998,18.0278,16.7631,22.2036,20.0,19.0,20.0,22.0227,20.3961,24.0,21.3776,20.6155,22.2036,21.095,21.095
fall,6,-68,17.1172,17.2627,18.6815,18.6815,18.4391,20.3961,18.4391,18.6815,19.9249,18.6815,19.3132,20.6155,20.5913,20.6155,17.72,18.3576,19.7231,16.5529,19.3132,17.4642,17.0,17.8885,17.4642,18.0278,18.3848,17.8885,0.0,16.7631,17.088,18.0278,18.6815,15.8114,17.72,17.4642,19.6469,16.7631,17.0,18.4391,18.2483,17.4642,17.72,18.0278,18.2483,20.3961,20.0998,20.025,19.2354,19.105,21.0238
fall,6,-69,23.0868,23.7697,24.7386,25.318,24.0832,24.3311,24.1868,24.0208,24.0832,23.0217,25.02,24.0,24.0,24.0,21.0238,23.0,24.0,21.0,22.0,22.0227,22.0227,21.0238,20.0,22.0227,21.0238,21.0238,0.0,21.0238,20.0998,21.095,20.2237,20.0998,20.2237,20.2237,19.2354,19.4165,19.9249,19.9249,19.6469,18.9737,19.9249,19.9249,20.2485,19.9249,21.5407,21.0238,20.6155,21.5407,22.1359
fall,6,-69,20.2485,20.5913,22.8254,21.0238,21.0238,20.1246,20.1246,21.5407,20.6155,21.1896,22.1359,21.1896,20.8806,20.6155,19.6469,20.6155,20.6155,18.0278,18.4391,19.6469,18.4391,19.6469,18.9737,18.6815,18.6815,18.9737,0.0,18.0278,18.9737,17.088,17.4642,17.088,19.3132,18.0278,17.8885,17.8885,16.5529,17.0,17.8885,18.0278,18.868,18.0278,17.2047,18.868,18.0278,20.0,20.0,19.4165,18.6011
