label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
assault,6,-68,21.9317,21.1896,24.0416,23.7697,23.5372,22.8035,24.5153,23.5372,23.3452,24.1868,24.3311,24.3311,24.1868,24.0832,23.0868,25.1794,24.0832,21.0238,22.0227,23.0217,23.0,21.0238,21.095,21.095,23.0868,21.2132,0.0,21.2132,21.2132,21.2132,19.4165,19.2354,20.0998,20.2237,18.2483,18.4391,17.72,18.9737,18.9737,18.0278,18.9737,18.3848,19.6977,18.9737,18.3848,18.3848,17.0,18.3848,17.8885
assault,6,-68,24.1868,23.5372,25.2982,25.9615,25.0,25.0,25.2982,25.632,25.632,26.0,26.9258,25.0799,28.178,25.9422,25.9422,26.4197,25.9422,24.5967,25.5539,25.0599,25.5539,24.6982,23.7065,25.5539,25.5539,24.5967,0.0,24.5967,24.1868,24.1868,24.5967,22.8254,23.7065,23.7065,22.8473,22.4722,22.4722,22.4722,21.5407,21.1896,22.1359,21.8403,23.7697,23.0868,20.6155,20.6155,21.3776,20.3961,20.6155
assault,6,-66,21.8403,22.8035,23.5372,24.5153,24.1868,23.1948,24.1868,23.1948,24.0208,24.0832,26.0768,25.02,25.0,25.0,24.0208,25.0799,25.0,22.0,23.0868,23.0868,23.0217,24.0832,22.0227,24.0832,24.0832,23.0,0.0,23.0217,23.0217,24.0208,22.0227,21.0238,23.0217,23.0,21.0238,22.0227,21.095,22.0907,21.095,22.0227,21.095,21.095,23.0868,21.2132,21.2132,21.2132,20.6155,21.3776,21.3776
assault,6,-67,26.4008,25.4951,28.178,27.2947,27.2947,25.5539,26.9258,25.2389,25.2389,25.4951,27.6586,27.0185,26.9072,26.9072,26.1725,27.0185,24.8395,23.4307,24.0832,24.0832,23.3452,24.0832,22.6274,24.7588,24.0416,22.0227,0.0,22.8035,22.2036,21.4009,23.0217,21.4009,21.6333,20.8087,21.6333,20.5913,20.5913,21.0238,19.7231,20.5913,20.5913,21.0238,21.9317,21.0238,20.2485,20.2485,19.3132,20.6155,20.2485
assault,6,-61,24.6982,23.7065,26.4197,27.2947,25.4951,24.1661,24.6982,24.3516,25.632,23.7697,26.5707,26.9258,26.2488,26.5707,24.0416,27.2029,26.2488,23.0868,22.8035,22.8035,22.561,23.7697,19.9249,23.0868,24.3516,23.0868,0.0,22.4722,24.3516,23.7697,22.3607,20.6155,21.5407,21.9317,20.6155,20.5913,19.3132,22.3607,19.2354,20.2485,20.1246,20.1246,21.4709,21.4709,18.868,20.1246,18.868,19.7231,18.868
assault,6,-67,22.561,22.8035,24.0416,25.632,24.1661,24.6982,25.0799,23.4094,25.9422,24.6982,25.9422,27.2947,26.4197,26.4197,24.6982,26.4197,26.0768,24.1868,26.0768,24.4131,23.8537,25.6125,22.4722,24.6982,24.6982,25.0599,0.0,25.0599,25.0599,25.0599,23.7065,22.8254,24.1868,24.1868,23.7065,24.1661,23.4094,24.3516,22.8473,22.8473,24.3516,22.4722,25.2982,24.6982,22.8035,24.0416,23.0868,23.0868,23.7697
assault,6,-67,22.1359,22.1359,21.9317,23.7697,22.8473,22.8473,23.2594,22.8254,22.3607,24.6982,23.8537,25.5539,24.4131,23.8537,23.6008,23.6008,23.6008,21.6333,22.8035,23.0217,22.2036,22.8035,22.2036,22.8035,22.8035,23.0217,0.0,22.2036,22.2036,23.0217,21.095,21.095,21.9545,21.095,20.5913,21.4709,21.9317,21.5407,21.4709,21.0238,22.8473,20.6155,22.4722,21.9317,21.1896,21.1896,22.1359,21.1896,21.1896
assault,6,-67,20.2485,22.8254,21.4709,23.2594,22.8473,21.4709,23.2594,21.5407,22.8473,22.1359,24.3516,23.7697,24.0416,25.0,23.7697,25.0,23.0868,21.8403,22.8035,23.5372,22.561,22.561,20.6155,23.3452,23.5372,22.8035,0.0,20.8806,23.0868,22.1359,21.1896,20.8806,21.8403,21.8403,20.2485,21.5407,20.6155,21.0238,21.0238,20.6155,21.9317,21.0238,22.3607,21.9317,21.095,21.4709,21.095,21.9545,21.4709
assault,6,-67,19.9249,21.1896,21.587,21.587,21.587,21.8403,21.587,21.3776,21.3776,21.2132,23.1948,23.1948,23.0868,23.0217,22.0907,23.0868,22.0907,22.0907,22.0227,22.0227,21.0238,22.0,20.025,22.0,22.0227,22.0227,0.0,21.095,21.095,22.0227,21.2132,20.0998,21.095,21.095,21.2132,20.2237,20.6155,20.6155,20.3961,20.3961,20.6155,19.6469,20.8806,19.6469,20.8806,20.2485,19.9249,20.2485,19.9249
assault,6,-69,20.025,20.0,21.2132,22.2036,22.2036,21.095,21.2132,22.2036,22.561,23.7697,22.8035,23.7697,24.0416,23.7697,23.4094,24.3516,24.0416,23.0868,22.4722,21.5407,23.4094,23.4094,22.4722,22.8473,23.7697,22.1359,0.0,23.0868,23.4094,23.0868,21.587,21.1896,21.8403,22.8035,20.6155,21.587,21.2132,22.2036,21.3776,21.3776,20.3961,22.0907,22.0907,22.2036,21.0238,22.0227,21.0238,21.0,22.2036
